factory_id,fingerprint_name,shap_value,direction
site_1310,corr_ETP-TSS_ETP-pH,0.0093,RISK_INCREASE
site_1310,autocorrelation,0.4219,RISK_INCREASE
site_1310,missing_rate,0.0,NEUTRAL
site_1310,limit_hugging,-0.1584,RISK_DECREASE
site_1310,bdl_rate,0.0548,RISK_INCREASE
site_1310,duplicate_run_length,-0.6728,RISK_DECREASE
site_1310,cov_severity,0.0,NEUTRAL
site_1310,bod_cod_ratio,-0.024,RISK_DECREASE
site_1310,bod_cod_ratio_volatility,-0.0236,RISK_DECREASE
site_1310,pre_inspection_dip_score,-0.0122,RISK_DECREASE
site_1310,coordinated_missing_flag,-4.4604,RISK_DECREASE
site_1321,value,-0.0526,RISK_DECREASE
site_1321,rolling_mean,1.1148,RISK_INCREASE
site_1321,rolling_std,0.5257,RISK_INCREASE
site_1321,rolling_cov,0.1148,RISK_INCREASE
site_1321,flatline_flag,0.0647,RISK_INCREASE
site_1321,corr_ETP-Flow_ETP-pH,-0.5947,RISK_DECREASE
site_1321,corr_ETP-BOD_ETP-COD,0.2012,RISK_INCREASE
site_1321,corr_ETP-BOD_ETP-Flow,-0.0026,RISK_DECREASE
site_1321,corr_ETP-BOD_ETP-TSS,-2.329,RISK_DECREASE
site_1321,corr_ETP-BOD_ETP-pH,0.2234,RISK_INCREASE
site_1321,corr_ETP-COD_ETP-Flow,-0.0003,RISK_DECREASE
site_1321,corr_ETP-COD_ETP-TSS,-0.4867,RISK_DECREASE
site_1321,corr_ETP-COD_ETP-pH,1.0305,RISK_INCREASE
site_1321,corr_ETP-Flow_ETP-TSS,-0.005,RISK_DECREASE
site_1321,corr_ETP-TSS_ETP-pH,-0.0016,RISK_DECREASE
site_1321,autocorrelation,0.1134,RISK_INCREASE
site_1321,missing_rate,0.0,NEUTRAL
site_1321,limit_hugging,-0.1494,RISK_DECREASE
site_1321,bdl_rate,0.1016,RISK_INCREASE
site_1321,duplicate_run_length,0.4122,RISK_INCREASE
site_1321,cov_severity,0.0,NEUTRAL
site_1321,bod_cod_ratio,-0.1129,RISK_DECREASE
site_1321,bod_cod_ratio_volatility,0.0488,RISK_INCREASE
site_1321,pre_inspection_dip_score,0.084,RISK_INCREASE
site_1321,coordinated_missing_flag,-2.9816,RISK_DECREASE
site_1369,value,-0.7743,RISK_DECREASE
site_1369,rolling_mean,0.3666,RISK_INCREASE
site_1369,rolling_std,-0.4815,RISK_DECREASE
site_1369,rolling_cov,0.001,RISK_INCREASE
site_1369,flatline_flag,-0.2328,RISK_DECREASE
site_1369,corr_ETP-Flow_ETP-pH,-0.6541,RISK_DECREASE
site_1369,corr_ETP-BOD_ETP-COD,-1.188,RISK_DECREASE
site_1369,corr_ETP-BOD_ETP-Flow,-0.0005,RISK_DECREASE
